uid,formula,reduced_formula,gap_pbe_2d,gap_hse_2d,ehull,dyn_stab,gap_pbe_bulk_mean,gap_pbe_bulk_min,gap_pbe_bulk_max,gap_hse_bulk_mean,n_bulk_matches,material_ids,delta_gap_pbe,delta_gap_hse
2SeSn-2,Sn2 Se2,SnSe,1.5895129483586574,2.221719185623071,0.0708486545084348,Yes,0.5321,0.1189,0.8548999999999999,1.2325348649999999,5,mp-2693|mp-691|mp-2168|mp-8936|mp-628773,1.0574129483586574,0.989184320623071
2SZn-1,Zn2 S2,ZnS,2.5570100290180697,3.7713145457679995,0.13723873159341515,Yes,1.9801104166666665,0.0,2.0715000000000003,3.0867830000000005,48,mp-556775|mp-560725|mp-557058|mp-557009|mp-561118|mp-10281|mp-9946|mp-13456|mp-556005|mp-554820|mp-555664|mp-555594|mp-554405|mp-557308|mp-555311|mp-561196|mp-555079|mp-556576|mp-553880|mp-555543|mp-554115|mp-554681|mp-581425|mp-555779|mp-556468|mp-553916|mp-10695|mp-554889|mp-555858|mp-555763|mp-557175|mp-555280|mp-555410|mp-557151|mp-555151|mp-556392|mp-556161|mp-554503|mp-555214|mp-556989|mp-561286|mp-556950|mp-680087|mp-18377|mp-543011|mp-561258|mp-557346|mp-680085,0.5768996123514032,0.684531545767999
2GeSe-1,Ge2 Se2,GeSe,1.1211421895230416,1.559182098831073,0.024886527032165873,Yes,0.47855000000000003,0.05830000000000002,0.8988,1.338205,2,mp-10759|mp-700,0.6425921895230415,0.22097709883107286
2GeSe-2,Ge2 Se2,GeSe,1.7435158762553535,2.4362977125782117,0.045723015618422735,Yes,0.47855000000000003,0.05830000000000002,0.8988,1.338205,2,mp-10759|mp-700,1.2649658762553535,1.0980927125782116
2BrRb-2,Rb2 Br2,RbBr,4.180139977785377,5.268172177145077,0.1418471193957207,Yes,4.05735,3.9219999999999997,4.1927,5.0246993799999995,2,mp-22867|mp-23303,0.12278997778537715,0.24347279714507764
2BrRb-1,Rb2 Br2,RbBr,4.111938334189684,5.19419694449829,0.06427624231511464,Yes,4.05735,3.9219999999999997,4.1927,5.0246993799999995,2,mp-22867|mp-23303,0.05458833418968467,0.16949756449829056
2CsF-1,Cs2 F2,CsF,4.151116844666914,6.0586074735185305,0.12060760044514174,No,5.596550000000001,5.2602,5.9329,6.983200249999999,2,mp-1784|mp-8455,-1.4454331553330864,-0.924592776481469
2CuI-1,Cu2 I2,CuI,1.786890780618711,3.359049485087538,0.0,Yes,1.1621375,0.0,1.6338,1.5789305,8,mp-1007922|mp-22863|mp-22895|mp-570081|mp-570136|mp-32750|mp-569346|mp-23306,0.624753280618711,1.7801189850875379
2CuI-2,Cu2 I2,CuI,1.86503334441587,3.5517361607400177,0.008306815201718276,No,1.1621375,0.0,1.6338,1.5789305,8,mp-1007922|mp-22863|mp-22895|mp-570081|mp-570136|mp-32750|mp-569346|mp-23306,0.7028958444158699,1.9728056607400177
2OPb-1,Pb2 O2,PbO,2.4058008109802316,3.4630942477284368,0.0,Yes,1.2086666666666663,0.0,2.1565,3.050318,4,mp-19921|mp-20878|mp-677074|mp-550714,1.1971341443135652,0.4127762477284369
4AsTl-1,Tl4 As4,TlAs,0.04034693143671257,0.15834700787076683,0.055420272146619265,Yes,0.0,0.0,0.0,0.0,1,mp-1007770,0.04034693143671257,0.15834700787076683
8AgBr-1,Ag8 Br8,AgBr,2.006259429053183,3.167055673630217,0.024347808108346636,Yes,0.8671666666666668,0.7,1.1709,2.02991683,3,mp-866291|mp-23231|mp-570301,1.1390927623865164,1.137138843630217
4BeSe-1,Be4 Se4,BeSe,2.9054188291265026,3.7836904060288132,0.09206571376949135,Yes,1.0375666666666665,0.0,2.6702,2.1255606350000003,3,mp-1008524|mp-1541|mp-11335,1.867852162459836,1.658129771028813
2GaSe-1,Ga2 Se2,GaSe,1.7646068281960714,2.5056893830580482,0.0,Yes,0.98148,0.0,1.2405999999999997,1.775927,5,mp-1572|mp-1943|mp-11342|mp-568128|mp-568263,0.7831268281960714,0.7297623830580482
2GaSe-2,Ga2 Se2,GaSe,1.6438489454686864,2.3708151322962996,0.0036204321325423727,Yes,0.98148,0.0,1.2405999999999997,1.775927,5,mp-1572|mp-1943|mp-11342|mp-568128|mp-568263,0.6623689454686864,0.5948881322962996
2GaSe-3,Ga2 Se2,GaSe,1.6090940802801192,2.259203623403881,0.04708834260883865,Yes,0.98148,0.0,1.2405999999999997,1.775927,5,mp-1572|mp-1943|mp-11342|mp-568128|mp-568263,0.6276140802801192,0.4832766234038808
2FRb-1,Rb2 F2,RbF,4.556590937560668,6.552578158599866,0.1347757524860831,No,5.714449999999999,5.5244,5.9045,7.28002463,2,mp-2064|mp-11718,-1.1578590624393312,-0.7274464714001336
2RhSe-3,Rh2 Se2,RhSe,0.10114770276374124,0.3374408042430755,0.16406317971285572,No,0.0,0.0,0.0,0.0,1,mp-900,0.10114770276374124,0.3374408042430755
6AuI-1,Au6 I6,AuI,1.0792959237041442,1.7034054648996437,0.02884973710064065,Yes,2.0853,2.0853,2.0853,3.101495,1,mp-27725,-1.006004076295856,-1.3980895351003562
6AuI-2,Au6 I6,AuI,1.5072535839635552,2.232212691205107,0.07247951693037342,Yes,2.0853,2.0853,2.0853,3.101495,1,mp-27725,-0.5780464160364449,-0.8692823087948929
1GeSe-1,Ge1 Se1,GeSe,2.2175112051577077,2.9145192404726146,0.0398665982389943,Yes,0.47855000000000003,0.05830000000000002,0.8988,1.338205,2,mp-10759|mp-700,1.7389612051577077,1.5763142404726145
3BrK-1,K3 Br3,KBr,4.224061183717379,5.310594358298797,0.046574713933109045,Yes,4.0939,3.8776,4.3102,5.5075692599999995,2,mp-23251|mp-570891,0.13016118371737928,-0.19697490170120258
4CuI-1,Cu4 I4,CuI,1.5657686258623003,3.2100263703912564,0.031176858785185946,Yes,1.1621375,0.0,1.6338,1.5789305,8,mp-1007922|mp-22863|mp-22895|mp-570081|mp-570136|mp-32750|mp-569346|mp-23306,0.4036311258623002,1.6310958703912564
