formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin,m3gnet_energy_pa,is_novel
Be(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Be,0.615,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,Be(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,609,8.436591148376465,True,8-10,,True
ZrZnF6,1HfZnF6-1,HfZnF6,p312,67,P312,Hexagonal (hp),8.572742466226543,0.024528268992252134,Yes,Hf→Zr,0.685,1.3,1.33,0.030000000000000027,2.08,2.06,0.020000000000000018,0.009615384615384623,low,False,ZrZnF6,p312,p312,False,False,new_composition,,,,,,,,542,8.253069877624512,True,8-10,,True
BeClF,2CaClF-1,CaClF,p4/nmm,64,P4/nmm,Square (tp),7.586685082888464,0.012101454898505892,Yes,Ca→Be,0.84,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeClF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,465,7.755741119384766,True,6-8,,True
NaCaCl3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Cl,0.825,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,281,7.668360710144043,True,6-8,,True
LiBeCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Be,0.96,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,323,7.610446929931641,True,6-8,,True
NaSrCl3,2NaSrI3-1,NaSrI3,p-31m,71,P-31m,Hexagonal (hp),4.712225290689499,0.05515423417875383,Yes,I→Cl,0.81,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaSrCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,225,7.578201770782471,True,6-8,,True
ScClF2,2ClScBr2-1,ScBr2Cl,cm11,13,Cm,Centered rectangular (oc),4.935391666345325,0.0,Yes,Br→F,0.605,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,ScClF2,cm11,cm11,False,False,new_composition,,,,,,,,24,7.469786643981934,True,6-8,,True
SiPO3F,2FGePO3-1,GePO3F,p11a,5,Pc,Oblique (mp),5.82680167459753,0.0,Yes,Ge→Si,0.62,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,SiPO3F,p11a,p11a,False,False,new_composition,,,,,,,,568,7.291815280914307,True,6-8,,True
LiCaCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Ca,0.855,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,LiCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,324,7.208174705505371,True,6-8,,True
Sr(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Sr,0.565,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,Sr(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,611,7.190056800842285,True,6-8,,True
Ca(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Ca,0.51,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,Ca(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,610,7.169585227966309,True,6-8,,True
PCO3F,2FGePO3-1,GePO3F,p11a,5,Pc,Oblique (mp),5.82680167459753,0.0,Yes,Ge→C,0.635,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,PCO3F,p11a,p11a,False,False,new_composition,,,,,,,,567,7.165026664733887,True,6-8,,True
SiPClO3,2ClGePO3-1,GePClO3,p11a,5,Pc,Oblique (mp),5.831420452682101,0.0,Yes,Ge→Si,0.585,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,SiPClO3,p11a,p11a,False,False,new_composition,,,,,,,,556,7.147660732269287,True,6-8,,True
LiClO3,2ClRbO3-1,RbClO3,p2_1/m11,15,P2_1/m,Rectangular (op),6.795183220703832,0.06181947680062842,Yes,Rb→Li,0.87,0.82,0.98,0.16000000000000003,2.65,1.67,0.98,0.369811320754717,high,True,LiClO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,184,7.1182355880737305,True,6-8,,True
