formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
GaSF,4BrGaS-1,GaSBr,p2_1/b11,17,P2_1/c,Rectangular (op),4.074083811391179,0.0,Yes,Br→F,0.585,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,GaSF,p2_1/b11,p2_1/b11,True,False,known_composition_new_layergroup,2FGaS-1;2FGaS-2,pm2_1n;pmmn,,,,,,424,4.592887878417969,True,4-6
BaClF,1BaBrCl-1,BaBrCl,p3m1,69,P3m1,Hexagonal (hp),6.257067660276618,0.08433058119849068,Yes,Br→F,0.925,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,BaClF,p3m1,p3m1,True,False,known_composition_new_layergroup,2BaClF-1,p4/nmm,,,,,,437,6.998517036437988,True,6-8
MnClF,2ClIMn-1,MnICl,pm2_1b,28,Pmc2_1,Rectangular (op),4.269096292690797,0.012718103907728207,Yes,I→F,0.795,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,MnClF,pm2_1b,pm2_1b,True,False,known_composition_new_layergroup,2ClFMn-2;2ClFMn-1;1ClFMn-1,pm2_1n;p3m1;pmm2,,,,,,442,4.475940227508545,True,4-6
YSF,1ISY-1,YSI,p3m1,69,P3m1,Hexagonal (hp),3.984738890303497,0.04779157181003294,Yes,I→F,0.5,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,YSF,p3m1,p3m1,True,False,known_composition_new_layergroup,2FSY-1,pmmn,,,,,,443,4.698607921600342,True,4-6
YSBr,1ISY-1,YSI,p3m1,69,P3m1,Hexagonal (hp),3.984738890303497,0.04779157181003294,Yes,I→Br,0.695,2.66,2.96,0.2999999999999998,1.15,0.94,0.20999999999999996,0.18260869565217389,medium,True,YSBr,p3m1,p3m1,True,False,known_composition_new_layergroup,1BrSY-1;2BrSY-2;2BrSY-1,pmm2;p-3m1;pmmn,,,,,,445,5.033651351928711,True,4-6
YOF,2FOSc-1,ScOF,pmmn,46,Pmmn,Rectangular (op),6.985766652092408,0.04293708398124233,Yes,Sc→Y,0.74,1.36,1.22,0.14000000000000012,1.84,2.12,0.28,0.15217391304347827,medium,True,YOF,pmmn,pmmn,True,False,known_composition_new_layergroup,2FOY-1,p-3m1,,,,,,447,7.135496139526367,True,6-8
AlTeF,4AlBrTe-1,AlTeBr,p2_1/b11,17,P2_1/c,Rectangular (op),3.6289911631215808,0.003204367199712769,Yes,Br→F,0.625,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,AlTeF,p2_1/b11,p2_1/b11,True,False,known_composition_new_layergroup,2AlFTe-2;2AlFTe-1,pmmn;pm2_1n,,,,,,452,3.939164638519287,True,2-4
ZnClF,2BrClZn-1,ZnBrCl,pm2_1b,28,Pmc2_1,Rectangular (op),5.121340614363477,2.9605947323337506e-16,Yes,Br→F,0.795,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,ZnClF,pm2_1b,pm2_1b,True,False,known_composition_new_layergroup,2ClFZn-1,p2_1/m11,,,,,,454,5.7061309814453125,True,4-6
MnBrF,2ClFMn-2,MnClF,pm2_1n,32,Pmn2_1,Rectangular (op),4.702451995547654,0.0746980940390521,Yes,Cl→Br,0.68,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,MnBrF,pm2_1n,pm2_1n,True,False,known_composition_new_layergroup,2BrFMn-1;2BrFMn-2;2BrFMn-3,pmma;pmmn;p3m1,,,,,,455,3.4872589111328125,True,2-4
MnICl,2ClFMn-1,MnClF,p3m1,69,P3m1,Hexagonal (hp),4.436276204152634,0.06028284426612718,Yes,F→I,0.56,3.98,2.66,1.3199999999999998,0.42,1.15,0.73,1.7380952380952381,high,True,MnICl,p3m1,p3m1,True,False,known_composition_new_layergroup,2ClIMn-1;2ClIMn-3;2ClIMn-2,pm2_1b;pmm2,,,,,,456,1.0187212228775024,False,0-2
