formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
YSbO3,2SbScO3-1,ScSbO3,p-31m,71,P-31m,Hexagonal (hp),5.077438341403328,0.017569160434504384,Yes,Sc→Y,0.635,1.36,1.22,0.14000000000000012,1.84,2.12,0.28,0.15217391304347827,medium,True,YSbO3,p-31m,p-31m,False,False,new_composition,,,,,,,,294,4.460785865783691,True,4-6
CsO3F,2ClCsO3-1,CsClO3,p2_1/m11,15,P2_1/m,Rectangular (op),6.615898979552831,0.05953217352885334,Yes,Cl→F,0.795,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,CsO3F,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,297,4.879428863525391,True,4-6
CoNO3,2CoSbO3-1,CoSbO3,p-31m,71,P-31m,Hexagonal (hp),3.6425457212431938,0.05144821819556604,Yes,Sb→N,0.525,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,CoNO3,p-31m,p-31m,False,False,new_composition,,,,,,,,301,1.2888035774230957,False,0-2
CaCuF3,2CaCuI3-1,CaCuI3,p-31m,71,P-31m,Hexagonal (hp),4.14049417821903,0.028273355013463862,Yes,I→F,0.835,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,CaCuF3,p-31m,p-31m,False,False,new_composition,,,,,,,,302,5.1227617263793945,True,4-6
ZnCO3,2GeZnO3-1,ZnGeO3,p-31m,71,P-31m,Hexagonal (hp),4.446110333053714,0.11933395552917467,Yes,Ge→C,0.575,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,ZnCO3,p-31m,p-31m,False,False,new_composition,,,,,,,,305,5.713843822479248,True,4-6
LiBeI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Mg→Be,0.855,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeI3,p-31m,p-31m,False,False,new_composition,,,,,,,,307,4.871477127075195,True,4-6
BaLiI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Mg→Ba,0.865,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaLiI3,p-31m,p-31m,False,False,new_composition,,,,,,,,308,3.945335865020752,True,2-4
KMgI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Li→K,0.78,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KMgI3,p-31m,p-31m,False,False,new_composition,,,,,,,,310,4.176044940948486,True,4-6
RbMgI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Li→Rb,0.8,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbMgI3,p-31m,p-31m,False,False,new_composition,,,,,,,,311,3.622525691986084,True,2-4
CsMgI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Li→Cs,0.76,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsMgI3,p-31m,p-31m,False,False,new_composition,,,,,,,,312,3.320103168487549,False,2-4
GaNO3,2GaSbO3-1,GaSbO3,p-31m,71,P-31m,Hexagonal (hp),4.973032755334708,0.0,Yes,Sb→N,0.615,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,GaNO3,p-31m,p-31m,False,False,new_composition,,,,,,,,316,2.747927665710449,False,2-4
NaCdBr3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Li→Na,0.625,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaCdBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,319,4.572573184967041,True,4-6
KCdBr3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Li→K,0.63,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KCdBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,320,4.813859939575195,True,4-6
RbCdBr3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Li→Rb,0.525,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbCdBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,321,4.488627910614014,True,4-6
