formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
TlPO3,2AsTlO3-1,TlAsO3,p312,67,P312,Hexagonal (hp),4.437809362625437,0.03331684674994158,Yes,As→P,0.585,2.18,2.19,0.009999999999999787,1.14,0.98,0.15999999999999992,0.1403508771929824,low,False,TlPO3,p312,p312,True,True,known_material,2PTlO3-1;2PTlO3-2,p312;p3,2PTlO3-1,,,0.3098694022889205,Unknown,341,4.6707305908203125,True,4-6
TlSbO3,2AsTlO3-1,TlAsO3,p312,67,P312,Hexagonal (hp),4.437809362625437,0.03331684674994158,Yes,As→Sb,0.6,2.18,2.05,0.13000000000000034,1.14,1.33,0.19000000000000017,0.16666666666666682,medium,True,TlSbO3,p312,p312,True,True,known_material,2SbTlO3-1;2SbTlO3-2,p312,2SbTlO3-1;2SbTlO3-2,4.173212698013478,2.827946697884661,0.12578656840668928;0.6750735208310801,Yes;Unknown,342,2.5682320594787598,False,2-4
TlAsO3,2SbTlO3-1,TlSbO3,p312,67,P312,Hexagonal (hp),4.173212698013478,0.12578656840668928,Yes,Sb→As,0.605,2.05,2.18,0.13000000000000034,1.33,1.14,0.19000000000000017,0.142857142857143,low,False,TlAsO3,p312,p312,True,True,known_material,2AsTlO3-1;2AsTlO3-2,p312;p3,2AsTlO3-1,4.437809362625437,2.854470708174674,0.03331684674994158,Yes,343,3.514035701751709,True,2-4
RbNO3,2KNO3-1,KNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.260665088156969,0.008267535100522139,Yes,K→Rb,0.885,0.82,0.82,0.0,2.43,2.65,0.21999999999999975,0.0905349794238682,low,False,RbNO3,p2_1/m11,p2_1/m11,True,True,known_material,2NRbO3-1,p2_1/m11,2NRbO3-1,5.286226532964832,3.1988736300457825,0.0,Yes,347,5.493074417114258,True,4-6
CsNO3,2KNO3-1,KNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.260665088156969,0.008267535100522139,Yes,K→Cs,0.82,0.82,0.79,0.029999999999999916,2.43,2.98,0.5499999999999998,0.2263374485596707,medium,True,CsNO3,p2_1/m11,p2_1/m11,True,True,known_material,2CsNO3-1,p2_1/m11,2CsNO3-1,5.324298339270695,3.2485734914803377,0.0,Yes,348,4.393563270568848,True,4-6
CdCuBr3,2CdCuCl3-1,CdCuCl3,p-31m,71,P-31m,Hexagonal (hp),3.8913031194522167,0.004245349775338525,Yes,Cl→Br,0.68,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,CdCuBr3,p-31m,p-31m,True,True,known_material,2CdCuBr3-1,p-31m,2CdCuBr3-1,3.601038681956767,1.5699758743672165,0.006392790507115542,Yes,350,3.04306697845459,False,2-4
InGaO3,2AlInO3-1,AlInO3,pm2_1n,32,Pmn2_1,Rectangular (op),4.391966049821173,0.09571031510143727,Yes,Al→Ga,0.705,1.61,1.81,0.19999999999999996,1.18,1.36,0.18000000000000016,0.15254237288135608,medium,True,InGaO3,pm2_1n,pm2_1n,True,True,known_material,2GaInO3-1,pm2_1n,2GaInO3-1,3.6648377168787616,2.182524378630798,0.05551166139117427,Yes,353,4.582029342651367,True,4-6
AlSeCl,4AlISe-1,AlSeI,p2_1/b11,17,P2_1/c,Rectangular (op),3.666921885468848,0.0,Yes,I→Cl,0.59,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,AlSeCl,p2_1/b11,p2_1/b11,True,True,known_material,2AlClSe-4;2AlClSe-1;2AlClSe-2;2AlClSe-3;4AlClSe-1;4AlClSe-2,pmmn;pm2_1n;p3m1;p2_1/b11;pb2_1a,4AlClSe-1,5.087424290874422,4.065730255297714,0.0,Yes,355,5.507262706756592,True,4-6
MgIBr,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Ba→Mg,0.845,0.89,1.31,0.42000000000000004,2.53,1.45,1.0799999999999998,0.4268774703557312,high,True,MgIBr,p3m1,p3m1,True,True,known_material,1BrIMg-1;2BrIMg-2;2BrIMg-1,p3m1;pm2_1b;pmm2,1BrIMg-1,4.079767931993697,3.154793824983993,0.018625578882138488,Yes,357,4.7601799964904785,True,4-6
CaIBr,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Ba→Ca,0.975,0.89,1.0,0.10999999999999999,2.53,1.94,0.5899999999999999,0.23320158102766794,medium,True,CaIBr,p3m1,p3m1,True,True,known_material,2BrCaI-1,p3m1,2BrCaI-1,5.000309558867139,3.6887655678418474,0.003386199682551272,Yes,358,5.8142313957214355,True,4-6
