formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
LiAl(AsS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,P→As,0.225,2.19,2.18,0.009999999999999787,0.98,1.14,0.15999999999999992,0.1632653061224489,medium,True,LiAl(AsS3)2,c211,c211,True,True,known_material,1AlLiAs2S6-1,c211,1AlLiAs2S6-1,,,0.12778478675381413,Unknown,16,3.183122158050537,False,2-4
CsAl(PS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,Li→Cs,0.205,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsAl(PS3)2,c211,c211,False,False,new_composition,,,,,,,,17,2.23764705657959,False,2-4
Te2HNO6,1HSbTe2O6-1,SbTe2HO6,cm11,13,Cm,Centered rectangular (oc),3.9750290568341096,0.04125560484827773,Yes,Sb→N,0.58,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,Te2HNO6,cm11,cm11,False,False,new_composition,,,,,,,,18,1.4095261096954346,False,0-2
Te2PHO6,1HSbTe2O6-1,SbTe2HO6,cm11,13,Cm,Centered rectangular (oc),3.9750290568341096,0.04125560484827773,Yes,Sb→P,0.74,2.05,2.19,0.14000000000000012,1.33,0.98,0.3500000000000001,0.26315789473684215,medium,True,Te2PHO6,cm11,cm11,False,False,new_composition,,,,,,,,19,4.991519451141357,True,4-6
Te2AsHO6,1HSbTe2O6-1,SbTe2HO6,cm11,13,Cm,Centered rectangular (oc),3.9750290568341096,0.04125560484827773,Yes,Sb→As,0.735,2.05,2.18,0.13000000000000034,1.33,1.14,0.19000000000000017,0.142857142857143,low,False,Te2AsHO6,cm11,cm11,False,False,new_composition,,,,,,,,20,4.2571821212768555,True,4-6
BiS2ClO6,1BiFS2O6-1,BiS2O6F,p1,1,P1,Oblique (mp),3.804722419858555,3.552713678800501e-16,Yes,F→Cl,0.41,3.98,3.16,0.8199999999999998,0.42,0.79,0.37000000000000005,0.8809523809523812,high,True,BiS2ClO6,p1,p1,False,False,new_composition,,,,,,,,21,6.412075519561768,True,6-8
BiS2IO6,1BiFS2O6-1,BiS2O6F,p1,1,P1,Oblique (mp),3.804722419858555,3.552713678800501e-16,Yes,F→I,0.15,3.98,2.66,1.3199999999999998,0.42,1.15,0.73,1.7380952380952381,high,True,BiS2IO6,p1,p1,False,False,new_composition,,,,,,,,22,5.046675205230713,True,4-6
BiS2BrO6,1BiFS2O6-1,BiS2O6F,p1,1,P1,Oblique (mp),3.804722419858555,3.552713678800501e-16,Yes,F→Br,0.295,3.98,2.96,1.02,0.42,0.94,0.52,1.2380952380952381,high,True,BiS2BrO6,p1,p1,False,False,new_composition,,,,,,,,23,5.8675923347473145,True,4-6
PH(SeO3)2,1HSbSe2O6-1,SbH(SeO3)2,cm11,13,Cm,Centered rectangular (oc),4.43058901937219,0.0,Yes,Sb→P,0.745,2.05,2.19,0.14000000000000012,1.33,0.98,0.3500000000000001,0.26315789473684215,medium,True,PH(SeO3)2,cm11,cm11,False,False,new_composition,,,,,,,,24,3.254706382751465,False,2-4
AsH(SeO3)2,1HSbSe2O6-1,SbH(SeO3)2,cm11,13,Cm,Centered rectangular (oc),4.43058901937219,0.0,Yes,Sb→As,0.74,2.05,2.18,0.13000000000000034,1.33,1.14,0.19000000000000017,0.142857142857143,low,False,AsH(SeO3)2,cm11,cm11,False,False,new_composition,,,,,,,,25,5.162388324737549,True,4-6
