uid,formula,reduced_formula,natoms,ehull,hform,gap_pbe,gap_hse,dyn_stab,layergroup,lgnum,international,bravais_type,layergroup_norm
2GaS-6,Ga2S2,GaS,4,0.4481742505229831,-0.21587778995398166,0.0,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2GaS-4,Ga2S2,GaS,4,0.2926861712623636,-0.37136586921460113,,,Unknown,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2GaS-5,Ga2S2,GaS,4,0.3837378927553927,-0.28031414772157204,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2GaS-3,Ga2S2,GaS,4,0.04802547345593311,-0.6160265670210316,2.0208199422712307,2.758886546751307,Yes,c2/m11,18,C2/m,Centered rectangular (oc),c2/m11
4AgSe-1,Ag4Se4,AgSe,8,0.042943203931221835,-0.024347157370422146,0.0,,No,pmma,41,Pmma,Rectangular (op),pmma
2SSi-1,S2Si2,SiS,4,0.44640914189441394,-0.056399607566345544,1.4165294564125812,2.1383677372253835,Yes,pm2_1n,32,Pmn2_1,Rectangular (op),pm2_1n
2SSi-2,S2Si2,SiS,4,0.9126326404622732,0.40982389100151373,0.0,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2HOs-2,Os2H2,HOs,4,0.4360007372482402,0.4360007372482402,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2HOs-1,Os2H2,HOs,4,0.3833552622754173,0.3833552622754173,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
1BiNi-1,BiNi,NiBi,2,0.7209334422692617,0.6783146148818151,,,Unknown,pmm2,23,Pmm2,Rectangular (op),pmm2
1AlSb-1,AlSb,AlSb,2,0.4749098700279477,0.29714304042332973,1.506652727718478,1.9964746290828133,No,p3m1,69,P3m1,Hexagonal (hp),p3m1
1HgSe-1,HgSe,HgSe,2,0.15687943029192875,-0.08861926102480311,0.11708727180683365,0.4233383782147899,Yes,p3m1,69,P3m1,Hexagonal (hp),p3m1
4AgF-1,Ag4F4,AgF,8,0.007633220147409414,-1.0068593457695258,0.532417060703021,,No,pman,42,Pmna,Rectangular (op),pman
1AlC-1,AlC,AlC,2,1.227347623157398,1.1598177996384678,0.0,,Unknown,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2CF-1,C2F2,CF,4,0.2849714004831607,-0.9122674719967279,3.1651096992234122,4.908943266382381,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2AlBi-1,Al2Bi2,AlBi,4,0.08514277713250351,0.08514277713250351,0.09184506270781356,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
3ITl-1,Tl3I3,TlI,6,0.02408016608592245,-0.6529738320703572,1.7371653419387056,2.380888439173786,Yes,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2AuSe-1,Au2Se2,AuSe,4,0.007223703427173156,-0.11573383046869923,0.9558875039194672,1.5613581775291938,Yes,p2/m11,14,P2/m,Rectangular (op),p2/m11
2AuSe-6,Au2Se2,AuSe,4,0.34798442196399026,0.22502688806811788,0.0,,No,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2AuSe-5,Au2Se2,AuSe,4,0.3439685285752061,0.22101099467933372,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2AuSe-4,Au2Se2,AuSe,4,0.3191333755649417,0.19617584166906932,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2AuSe-7,Au2Se2,AuSe,4,0.4087093555261272,0.2857518216302548,,,Unknown,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2AuSe-2,Au2Se2,AuSe,4,0.24262384916544244,0.11966631526957006,,,Unknown,pmmn,46,Pmmn,Rectangular (op),pmmn
2AuSe-3,Au2Se2,AuSe,4,0.309367389380649,0.18640985548477662,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2AgF-3,Ag2F2,AgF,4,0.10123339387538888,-0.9132591720415464,0.5554658147731568,2.4754459300139935,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2AgF-2,Ag2F2,AgF,4,0.048307299167720696,-0.9661852667492146,0.49761194632282413,1.809729494697217,No,p1,1,P1,Oblique (mp),p1
2AgF-1,Ag2F2,AgF,4,0.018823621490125397,-0.9956689444268099,0.09880325916460642,,Unknown,p-1,2,P-1,Oblique (mp),p-1
4HgSe-1,Hg4Se4,HgSe,8,0.04048011398885265,-0.2050185773278792,0.36562526184133715,0.9369855214442866,Yes,p2/m11,14,P2/m,Rectangular (op),p2/m11
2BrNi-1,Ni2Br2,NiBr,4,0.30449021897920053,-0.00045421121726807456,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2BrNi-2,Ni2Br2,NiBr,4,0.32371453423027857,0.018770104033809965,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2CrTe-2,Cr2Te2,CrTe,4,0.2490153912037539,0.04839913810980345,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2CrTe-4,Cr2Te2,CrTe,4,0.3293837661588209,0.12876751306487044,,,Unknown,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2CrTe-1,Cr2Te2,CrTe,4,0.20885287206041356,0.008236618966463105,,,Unknown,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2CrTe-3,Cr2Te2,CrTe,4,0.31423673013498477,0.11362047704103428,,,Unknown,pm2m,27,Pmm2,Rectangular (op),pm2m
8ClCu-2,Cu8Cl8,CuCl,16,0.06835610578847051,-0.38303213132973246,1.9852565622408822,,No,cmme,48,Cmme,Centered rectangular (oc),cmme
8ClCu-1,Cu8Cl8,CuCl,16,0.04744528799658987,-0.4039429491216131,2.58991125904432,,No,cm2e,36,Aem2,Centered rectangular (oc),cm2e
2HRe-1,Re2H2,ReH,4,0.2696510632171165,0.2696510632171165,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2MoS-5,Mo2S2,MoS,4,0.4740711019601038,-0.21662455660456814,0.0,,No,pm2m,27,Pmm2,Rectangular (op),pm2m
2MoS-3,Mo2S2,MoS,4,0.3156976331076118,-0.3749980254570602,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2MoS-6,Mo2S2,MoS,4,0.5105114430528861,-0.18018421551178587,0.0,,No,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2MoS-4,Mo2S2,MoS,4,0.4170273382121783,-0.27366832035249367,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2MoS-1,Mo2S2,MoS,4,0.168365426342036,-0.522330232222636,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2MoS-2,Mo2S2,MoS,4,0.28197705753153013,-0.40871860103314184,,,Unknown,c2/m11,18,C2/m,Centered rectangular (oc),c2/m11
3ILi-1,Li3I3,LiI,6,0.06041054738218069,-1.1934415294848562,4.0513733092069435,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2SeZn-3,Zn2Se2,ZnSe,4,0.5399034906460103,-0.17871616895831943,0.0,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2SeZn-1,Zn2Se2,ZnSe,4,0.10815043295041038,-0.6104692266539193,1.6214941234238558,2.6335309052897666,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
