formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin,relaxation_status,relaxation_message,gap_pred_unrelaxed,gap_pred_relaxed,gap_pred_relax_delta,m3gnet_energy_pa_relaxed
BaB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Ba,0.885,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,620,10.038864135742188,True,10-12,relaxed,,10.038864135742188,9.750227928161621,-0.2886362075805664,-5.823697176846591
MgVICl3,1ISrVCl3-1,SrVICl3,pm11,11,Pm,Rectangular (op),3.718521867139426,0.06647263153372703,Yes,Sr→Mg,0.755,0.95,1.31,0.3600000000000001,2.19,1.45,0.74,0.3378995433789954,high,True,MgVICl3,pm11,pm11,False,False,new_composition,,,,,,,,581,1.6825073957443237,False,0-2,relaxed,,1.6825073957443237,2.213463068008423,0.5309556722640991,-3.747012456258138
SrCa2(SI)2,1SrBr2Ca2S2-1,SrCa2(SBr)2,p-3m1,72,P-3m1,Hexagonal (hp),4.244068025794117,0.04163911727115251,Yes,Br→I,0.635,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,SrCa2(SI)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,671,3.951012134552002,True,2-4,relaxed,,3.951012134552002,3.8377914428710938,-0.1132206916809082,-3.3653232029506137
BaLiI3,2LiMgI3-1,LiMgI3,p-31m,71,P-31m,Hexagonal (hp),4.513965972185354,0.0534441506616302,Yes,Mg→Ba,0.865,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaLiI3,p-31m,p-31m,False,False,new_composition,,,,,,,,308,3.945335865020752,True,2-4,relaxed,,3.945335865020752,3.481898784637451,-0.4634370803833008,-3.1499046325683593
SrVCl4,1ISrVCl3-1,SrVICl3,pm11,11,Pm,Rectangular (op),3.718521867139426,0.06647263153372703,Yes,I→Cl,0.915,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,SrVCl4,pm11,pm11,False,False,new_composition,,,,,,,,585,3.9433212280273438,True,2-4,relaxed,,3.9433212280273438,2.9635210037231445,-0.9798002243041992,-4.241571108500163
Sr3(SBr)2,1SrBr2Ca2S2-1,SrCa2(SBr)2,p-3m1,72,P-3m1,Hexagonal (hp),4.244068025794117,0.04163911727115251,Yes,Ca→Sr,0.66,1.0,0.95,0.050000000000000044,1.94,2.19,0.25,0.1288659793814433,low,False,Sr3(SBr)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,667,3.922530174255371,True,2-4,relaxed,,3.922530174255371,4.331363201141357,0.40883302688598633,-3.481062480381557
BeAgBr3,2AgCaBr3-1,CaAgBr3,p-31m,71,P-31m,Hexagonal (hp),4.3869873792919325,0.0014465910885025578,Yes,Ca→Be,0.72,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeAgBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,203,3.914304256439209,True,2-4,relaxed,,3.914304256439209,4.1839518547058105,0.26964759826660156,-2.9041276931762696
BaCuBr3,2CuMgBr3-1,MgCuBr3,p-31m,71,P-31m,Hexagonal (hp),4.595893458217286,0.01795218967633865,Yes,Mg→Ba,0.735,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaCuBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,263,3.9140477180480957,True,2-4,relaxed,,3.9140477180480957,3.042916774749756,-0.8711309432983398,-3.4507572174072267
MgAgF3,2AgMgBr3-1,MgAgBr3,p-31m,71,P-31m,Hexagonal (hp),4.269294399239725,0.01098097541563714,Yes,Br→F,0.82,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,MgAgF3,p-31m,p-31m,False,False,new_composition,,,,,,,,231,5.943068981170654,True,4-6,relaxed,,5.943068981170654,0.37141919136047363,-5.571649789810181,-3.9051097869873046
BeHCl,2BaClH-1,BaHCl,p4/nmm,64,P4/nmm,Square (tp),4.822970555720868,0.05581777992934237,Yes,Ba→Be,0.745,0.89,1.57,0.68,2.53,1.12,1.4099999999999997,0.5573122529644268,high,True,BeHCl,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,410,5.936429500579834,True,4-6,relaxed,,5.936429500579834,5.341789722442627,-0.594639778137207,-3.485692024230957
RbClO2,2ClLiO2-1,LiClO2,p-42_1m,58,P-42_1m,Square (tp),5.196933542303896,0.15338332760737283,Yes,Li→Rb,0.845,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbClO2,p-42_1m,p-42_1m,False,False,new_composition,,,,,,,,32,5.93306303024292,True,4-6,relaxed,,5.93306303024292,5.379985809326172,-0.553077220916748,-3.3876490592956543
CsGeHO3,2CCsHO3-1,CsHCO3,p2_111,9,P2_1,Rectangular (op),6.0467067805000605,5.921189464667501e-16,Yes,C→Ge,0.715,2.55,2.01,0.54,0.67,1.25,0.58,0.8656716417910446,high,True,CsGeHO3,p2_111,p2_111,False,False,new_composition,,,,,,,,605,5.923512935638428,True,4-6,relaxed,,5.923512935638428,4.63739013671875,-1.2861227989196777,-4.751633961995442
BeIBr,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Ba→Be,0.705,0.89,1.57,0.68,2.53,1.12,1.4099999999999997,0.5573122529644268,high,True,BeIBr,p3m1,p3m1,False,False,new_composition,,,,,,,,356,5.914241313934326,True,4-6,relaxed,,5.914241313934326,4.700284957885742,-1.213956356048584,-2.8030268351236978
BaHF,2BaClH-1,BaHCl,p4/nmm,64,P4/nmm,Square (tp),4.822970555720868,0.05581777992934237,Yes,Cl→F,0.89,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,BaHF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,413,5.901045322418213,True,4-6,relaxed,,5.901045322418213,6.231252670288086,0.33020734786987305,-4.251447359720866
Hf3O5F2,1Br2Hf3O5-1,Hf3Br2O5,p1,1,P1,Oblique (mp),4.925663945295126,0.06488929898179414,Yes,Br→F,0.62,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,Hf3O5F2,p1,p1,False,False,new_composition,,,,,,,,676,5.89437198638916,True,4-6,relaxed,,5.89437198638916,6.136498928070068,0.2421269416809082,-8.085050201416015
MgHCl,2BaClH-1,BaHCl,p4/nmm,64,P4/nmm,Square (tp),4.822970555720868,0.05581777992934237,Yes,Ba→Mg,0.86,0.89,1.31,0.42000000000000004,2.53,1.45,1.0799999999999998,0.4268774703557312,high,True,MgHCl,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,411,5.861776828765869,True,4-6,relaxed,,5.861776828765869,6.253734588623047,0.39195775985717773,-2.656703313191732
LiBeBr3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Mg→Be,0.95,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,265,5.856773376464844,True,4-6,relaxed,,5.856773376464844,4.276165008544922,-1.5806083679199219,-3.2177154541015627
SiPO3F,2FGePO3-1,GePO3F,p11a,5,Pc,Oblique (mp),5.82680167459753,0.0,Yes,Ge→Si,0.62,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,SiPO3F,p11a,p11a,False,False,new_composition,,,,,,,,568,7.291815280914307,True,6-8,relaxed,,7.291815280914307,3.2411136627197266,-4.05070161819458,-5.786933898925781
LiCaCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Ca,0.855,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,LiCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,324,7.208174705505371,True,6-8,relaxed,,7.208174705505371,6.874598026275635,-0.33357667922973633,-3.5433082580566406
Sr(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Sr,0.565,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,Sr(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,611,7.190056800842285,True,6-8,relaxed,,7.190056800842285,7.24835205078125,0.058295249938964844,-4.0248478976163
Ca(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Ca,0.51,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,Ca(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,610,7.169585227966309,True,6-8,relaxed,,7.169585227966309,6.9783525466918945,-0.19123268127441406,-4.071662902832031
PCO3F,2FGePO3-1,GePO3F,p11a,5,Pc,Oblique (mp),5.82680167459753,0.0,Yes,Ge→C,0.635,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,PCO3F,p11a,p11a,False,False,new_composition,,,,,,,,567,7.165026664733887,True,6-8,relaxed,,7.165026664733887,4.227295398712158,-2.9377312660217285,-5.857737223307292
BOF,2FGaO-1,GaOF,pmmn,46,Pmmn,Rectangular (op),4.755211768183427,0.0,Yes,Ga→B,0.505,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,BOF,pmmn,pmmn,False,False,new_composition,,,,,,,,396,8.91257381439209,True,8-10,relaxed,,8.91257381439209,9.502472877502441,0.5898990631103516,-6.917108535766602
Be(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Be,0.615,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,Be(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,609,8.436591148376465,True,8-10,relaxed,,8.436591148376465,6.731240749359131,-1.705350399017334,-4.071317846124822
ZrZnF6,1HfZnF6-1,HfZnF6,p312,67,P312,Hexagonal (hp),8.572742466226543,0.024528268992252134,Yes,Hf→Zr,0.685,1.3,1.33,0.030000000000000027,2.08,2.06,0.020000000000000018,0.009615384615384623,low,False,ZrZnF6,p312,p312,False,False,new_composition,,,,,,,,542,8.253069877624512,True,8-10,relaxed,,8.253069877624512,7.728226661682129,-0.5248432159423828,-5.217324256896973
SiPClO3,2ClGePO3-1,GePClO3,p11a,5,Pc,Oblique (mp),5.831420452682101,0.0,Yes,Ge→Si,0.585,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,SiPClO3,p11a,p11a,False,False,new_composition,,,,,,,,556,7.147660732269287,True,6-8,relaxed,,7.147660732269287,4.016219615936279,-3.131441116333008,-5.775524139404297
LiClO3,2ClRbO3-1,RbClO3,p2_1/m11,15,P2_1/m,Rectangular (op),6.795183220703832,0.06181947680062842,Yes,Rb→Li,0.87,0.82,0.98,0.16000000000000003,2.65,1.67,0.98,0.369811320754717,high,True,LiClO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,184,7.1182355880737305,True,6-8,relaxed,,7.1182355880737305,4.300709247589111,-2.817526340484619,-3.912912368774414
PHCO3,2GeHPO3-1,GePHO3,p11a,5,Pc,Oblique (mp),6.084393950689768,0.0,Yes,Ge→C,0.72,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,PHCO3,p11a,p11a,False,False,new_composition,,,,,,,,597,7.062123775482178,True,6-8,relaxed,,7.062123775482178,4.089025497436523,-2.9730982780456543,-5.885321935017903
RbAsO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→As,0.75,3.04,2.18,0.8599999999999999,0.56,1.14,0.5799999999999998,1.0357142857142854,high,True,RbAsO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,285,7.043325424194336,True,6-8,relaxed,,7.043325424194336,5.225966930389404,-1.8173584938049316,-4.774265289306641
BClO,2ClGaO-1,GaClO,pmmn,46,Pmmn,Rectangular (op),4.957459341310971,0.0,Yes,Ga→B,0.515,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,BClO,pmmn,pmmn,False,False,new_composition,,,,,,,,399,7.032580852508545,True,6-8,relaxed,,7.032580852508545,7.726694583892822,0.6941137313842773,-6.0516815185546875
NaMgCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Li→Na,0.92,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMgCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,327,7.012096405029297,True,6-8,relaxed,,7.012096405029297,6.416073322296143,-0.5960230827331543,-3.154727554321289
CsSbO3,2CsNO3-1,CsNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.324298339270695,0.0,Yes,N→Sb,0.625,3.04,2.05,0.9900000000000002,0.56,1.33,0.77,1.375,high,True,CsSbO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,213,6.9137372970581055,True,6-8,relaxed,,6.9137372970581055,3.783484935760498,-3.1302523612976074,-4.44619140625
LiHCO3,2CHKO3-1,KHCO3,p2_111,9,P2_1,Rectangular (op),6.2155469319672925,0.0,Yes,K→Li,0.91,0.82,0.98,0.16000000000000003,2.43,1.67,0.7600000000000002,0.3127572016460906,high,True,LiHCO3,p2_111,p2_111,False,False,new_composition,,,,,,,,563,6.8709716796875,True,6-8,relaxed,,6.8709716796875,5.867092132568359,-1.0038795471191406,-5.819908777872722
Ba(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Ba,0.575,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,Ba(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,612,6.729569435119629,True,6-8,relaxed,,6.729569435119629,6.602327823638916,-0.1272416114807129,-4.180518410422585
