uid,formula,n_atoms,gap_pbe,gap_hse_true,gap_hse_pred,uwbg
2BeBr2-1,BeBr2,6,4.279038106368253,5.545446642115886,5.883816242218018,True
1ZnCl2-1,ZnCl2,3,4.2130547053809835,5.696369521544278,5.8832173347473145,True
2ClRb-2,RbCl,4,4.651041440461688,5.891091601890369,5.881428241729736,True
2HPAs2O6-1,As2PHO6,20,4.555794861602395,5.999065135105331,5.8765459060668945,True
2ClCsF4-1,CsClF4,12,3.753464039625782,,5.876153469085693,True
2LiMgBr3-1,LiMgBr3,10,4.540911662186874,5.674179509123846,5.86773681640625,True
2SSnO4-1,SnSO4,12,4.381891752511394,,5.866785526275635,True
1GeNa2H6O6-1,Na2Ge(HO)6,15,4.151594370692811,5.901295051257279,5.861559867858887,True
1GeLi2H6O6-1,Li2Ge(HO)6,15,4.0833689527462935,5.821184641245672,5.8603363037109375,True
1HfNa2H6O6-1,Na2Hf(HO)6,15,4.113092933848167,5.786264659792344,5.860168933868408,True
1ZrLi2H6O6-1,Li2Zr(HO)6,15,4.257873579821503,,5.854947090148926,True
1BeAs2F4O4-1,BeAs2(OF)4,11,4.143545145209618,6.123718725945416,5.848976135253906,True
1HfK2H6O6-1,K2Hf(HO)6,15,4.190469225627447,5.846413469447789,5.826830863952637,True
1ZrK2H6O6-1,K2Zr(HO)6,15,4.248265023806075,5.902046482910049,5.825565338134766,True
2SrO3H4-1,SrH4O3,16,4.396426994563278,6.069913590947623,5.824573993682861,True
2ClRbF4-1,RbClF4,12,3.721695717405154,,5.819615364074707,True
4AlClS-1,AlSCl,12,4.6653677597500085,5.932379422356487,5.80441951751709,True
2BaO3H4-1,BaH4O3,16,4.227944606383522,,5.802551746368408,True
2ClOY-1,YClO,6,4.395327785439134,6.000126821266452,5.797640800476074,True
2SeZnH2O4-1,ZnH2SeO4,16,4.4521794824085665,6.1586624096199,5.7950849533081055,True
4AsO2-2,AsO2,12,3.2318990493557513,,5.794323921203613,True
4BrOY-1,YBrO,12,4.5648991687612215,5.974152856933038,5.788896083831787,True
2ClRb-1,RbCl,4,4.688517708298653,5.924068693620607,5.7887372970581055,True
4AsKO2-1,KAsO2,16,4.166703109934298,5.495615451221962,5.787779808044434,True
2SrBr2S2H4-1,SrH4(SBr)2,18,4.689171936386504,5.813064558159799,5.783955097198486,True
2CNaOH3N4-1,NaH3CN4O,20,4.8185609949959325,,5.780579090118408,True
6ClRb-1,RbCl,12,4.690534622382894,5.935966092269205,5.775350570678711,True
2BaAs2O6-1,Ba(AsO3)2,18,3.182304353953986,5.0141426303750585,5.770416259765625,True
2CCsSH3O3-1,CsH3CSO3,18,4.520449629474895,6.115816918664659,5.764251708984375,True
4TiF4-1,TiF4,20,3.6262502367402467,,5.758516788482666,True
1ZrNa2H6O6-1,Na2Zr(HO)6,15,4.1787143214842954,5.84739266974978,5.755946159362793,True
2SrBr2-1,SrBr2,6,4.628604136007789,5.740809129410286,5.752225875854492,True
2ClKF4-1,KClF4,12,3.6559331154632657,5.658228882379254,5.748264789581299,True
2ClFZn-1,ZnClF,6,4.077972008060312,5.535399397814436,5.740946292877197,True
2BrClSr-1,SrBrCl,6,4.21363242833478,,5.7353668212890625,True
2ScCl3-1,ScCl3,8,3.922367727302634,5.970209229380681,5.734691619873047,True
2ClNaO2H4-1,NaH4ClO2,16,4.600926481619252,5.961086465928096,5.725441932678223,True
2PSbO4-1,SbPO4,12,4.374086019050267,5.769998647690189,5.725001335144043,True
2GaHSeO4-1,GaHSeO4,14,4.2950119509417295,5.796265807518722,5.719569206237793,True
2BrCsF4-1,CsBrF4,12,3.560570635081239,,5.715290546417236,True
1NiF2-1,NiF2,3,1.5494891802799646,5.685462788767933,5.711480140686035,True
2As2O3-1,As2O3,10,4.146456017763331,5.449591891902212,5.708047866821289,True
1SrBr2-2,SrBr2,3,4.3134911291489,5.386149231198523,5.704143524169922,True
1SrBr2-1,SrBr2,3,4.928634518843715,6.061842193486276,5.6875104904174805,True
4AsNaO2-1,NaAsO2,16,4.359538407596785,5.635495958121257,5.668717861175537,True
4AsNaO2-2,NaAsO2,16,4.333075900687465,5.612714802451468,5.666487693786621,True
2AlClS-1,AlSCl,6,3.8347752576941083,5.189902912290469,5.662894248962402,True
2H2Si2O5-1,Si2H2O5,18,5.470511196159908,,5.659997463226318,True
1SnK2H6O6-1,K2Sn(HO)6,15,4.058166360772304,5.746329727290842,5.655758857727051,True
2ClNaS2H4-1,NaH4S2Cl,16,4.323628040497962,,5.651883125305176,True
2CaBr2-1,CaBr2,6,4.59760930770676,5.946412070601797,5.651473522186279,True
1MgK2Se2H4O8-1,K2MgH4(SeO4)2,17,4.372992655190652,5.701007147396597,5.651470184326172,True
1CaBr2-1,CaBr2,3,4.862661452815692,6.286147049980412,5.650852680206299,True
1As2Ge3O9-1,Ge3As2O9,14,3.7250047277309424,,5.646394729614258,True
1HSbS2O6-1,SbH(SO3)2,10,3.559867978422603,,5.644272327423096,True
2HfO3-1,HfO3,8,3.470314449142186,5.74718813882467,5.639932155609131,True
2HLiO-1,LiHO,6,3.935352440756461,5.6121973418083115,5.63859748840332,True
2AsPO4-1,AsPO4,12,4.632149427950052,,5.631920337677002,True
2BeFI-1,BeIF,6,4.632948481482147,5.740821184072976,5.627397060394287,True
3YCl3-1,YCl3,12,4.10322636723094,,5.622369289398193,True
2TeZnH2O4-1,ZnTe(HO2)2,16,3.9327169171022374,5.565660111641183,5.618006706237793,True
2PbSO4-1,PbSO4,12,3.6072611826424508,,5.613563060760498,True
1Bi2Si3O9-1,Si3Bi2O9,14,3.7325113606502986,,5.611193656921387,True
1CdF2-1,CdF2,3,3.806965817767722,5.854292806657696,5.606044769287109,True
2AlHTeO4-1,AlTeHO4,14,3.8600171993291164,5.330971197876758,5.602684497833252,True
1BN-1,BN,2,4.666851527655782,5.6754492898906905,5.602069854736328,True
1HfAs2F2O6-1,HfAs2(O3F)2,11,3.696276947052248,,5.601844310760498,True
1BaBr2-2,BaBr2,3,4.157127248758916,5.327696974309628,5.600674152374268,True
1BaBr2-1,BaBr2,3,4.902112602626158,6.030512225994435,5.6003265380859375,True
2As2O3-2,As2O3,10,3.876239173691788,5.154403471528006,5.592144966125488,True
2HTeLi3O4-1,Li3TeHO4,18,4.036854149464261,5.347235093469902,5.587599277496338,True
2IKO2H4-1,KH4IO2,16,3.467208193195394,,5.57960319519043,True
2BaBr2-1,BaBr2,6,4.677797672734289,5.7866027215220015,5.579441070556641,True
2P2O3-4,P2O3,10,4.2344273227689655,5.612790919903382,5.577779769897461,True
2BrLiO2H4-1,LiH4BrO2,16,4.323097382357341,,5.577138423919678,True
2HSeNa3O4-1,Na3HSeO4,18,4.263896410615624,5.630699246770568,5.572467803955078,True
2MgSeWO6-1,MgWSeO6,18,3.5049961796641584,5.0909108337098665,5.571290016174316,True
2CdSeH2O4-1,CdH2SeO4,16,4.103775366960745,5.4850973941403804,5.570141315460205,True
2GaHTeO4-1,GaTeHO4,14,3.85875344091873,5.307984474521612,5.56646728515625,True
1ZnRe2O8-1,Zn(ReO4)2,11,3.9662269407194954,5.699539845242606,5.553869724273682,True
2HInSeO4-1,InHSeO4,14,4.026935455039913,5.48658383213329,5.5435967445373535,True
1ZrAs2F2O6-1,ZrAs2(O3F)2,11,3.7420131730676154,,5.542659759521484,True
4ZnCl2-1,ZnCl2,12,4.023881053849614,,5.5337347984313965,True
2ClCs-1,CsCl,4,4.459816516327901,5.654182203452806,5.5322418212890625,True
1Sb2Ge3O9-1,Ge3Sb2O9,14,3.7656153297864856,,5.527776718139648,True
2CdSH2O4-1,CdH2SO4,16,3.846464041474018,5.175836215360553,5.517626762390137,True
2AlBrO-1,AlBrO,6,4.142216045055263,5.396859842159907,5.516032695770264,True
1CaBr2-2,CaBr2,3,4.127673820148674,5.51455210742706,5.511834621429443,True
1SnNa2H6O6-1,Na2Sn(HO)6,15,3.9369910379311914,5.654737793528017,5.506885051727295,True
1HfW2O8-1,Hf(WO4)2,11,3.6353707549177834,5.420085263094771,5.506504058837891,True
2SrSn2F6-1,SrSn2F6,18,3.9749188891885687,,5.502241134643555,True
8GeO2-1,GeO2,24,3.3517163723901033,,5.496262073516846,True
1SnLi2H6O6-1,Li2Sn(HO)6,15,3.8695098408207107,,5.496252059936523,True
1MgNa2Te2H4O8-1,Na2MgTe2(HO2)4,17,3.996108547317575,5.383710975787142,5.494401931762695,True
2BiF3-1,BiF3,8,4.316790709439207,5.899335099015164,5.493762969970703,True
1NiCl2O8-1,Ni(ClO4)2,11,1.5540203220955346,5.2965962215884055,5.475469589233398,True
1MgLi2Te2H4O8-1,Li2MgTe2(HO2)4,17,4.041405696108541,5.433844908974445,5.4744791984558105,True
2BrK-1,KBr,4,4.374141644811175,5.4696213452375275,5.463625907897949,True
2P2O3-2,P2O3,10,3.9814870404724574,5.3628804018511484,5.458923816680908,True
2Ge2H2O5-1,Ge2H2O5,18,3.596589491656501,5.489444230641681,5.455160617828369,True
2SrPb2F6-1,SrPb2F6,18,3.9931925449835064,,5.452716827392578,True
1GeO2-1,GeO2,3,3.641316492039854,5.355296396300146,5.451979160308838,True
4MnCl2-1,MnCl2,12,1.8602939885910077,,5.449491024017334,True
1B2Hg3O6-1,Hg3(BO3)2,11,3.5216174185616813,5.205751058570286,5.448567867279053,True
2BrCaH-1,CaHBr,6,4.194451569662164,5.5311854491140044,5.445918083190918,True
2HInSO4-1,InHSO4,14,3.78164425391562,5.131645144129129,5.445771217346191,True
2LiMnCl3-1,LiMnCl3,10,2.2186778849070325,5.383826679282638,5.444232940673828,True
2ClHSr-1,SrHCl,6,4.142279046805344,5.2589954483910955,5.443891525268555,True
2AlSbO3-1,AlSbO3,10,3.908596549887496,5.156947113710846,5.442234039306641,True
2HPSb2O6-1,Sb2PHO6,20,4.21688497042998,5.463422220959688,5.438924789428711,True
2As2O3-3,As2O3,10,4.256006969095704,5.514746111258008,5.425809383392334,True
2CaGe2Cl6-1,Ca(GeCl3)2,18,3.7459031392121958,,5.424407482147217,True
1MgBr2-2,MgBr2,3,4.264617899800461,5.438802195274328,5.415517807006836,True
1ZrW2O8-1,Zr(WO4)2,11,3.4859994351622325,5.321061306270534,5.415273666381836,True
2ZrO3-1,ZrO3,8,3.5863286119644755,5.759643369732689,5.409573554992676,True
2CGePH3O3-1,GePH3CO3,18,4.604757003899312,5.744090029347575,5.401416301727295,True
2HPSeO5-1,PHSeO5,16,3.4627092608427925,5.224564938091029,5.398989677429199,True
1ZnCl2-2,ZnCl2,3,4.452870715551238,5.929177474335627,5.3947272300720215,True
2SSb2O6-1,Sb2SO6,18,4.130842729236356,5.446764224561242,5.391610145568848,True
1MgK2S2H4O8-1,K2MgH4(SO4)2,17,4.093097504617171,,5.387744426727295,True
1NiZrF6-2,ZrNiF6,8,0.40930293446388255,,5.387038707733154,True
2YCl3-2,YCl3,8,3.8576924868241695,5.3613158491542245,5.385801315307617,True
2CNNaS-1,NaCSN,8,4.120610116565436,5.136968561316429,5.384397506713867,True
1SSnO4-1,SnSO4,6,4.198737177862194,5.411005072901167,5.3831915855407715,True
2KNO3-1,KNO3,10,3.166400739179675,5.260665088156969,5.380886077880859,True
3BrNa-1,NaBr,6,4.12302688997544,5.209287630587612,5.374809265136719,True
2P2O3-3,P2O3,10,4.078809796474346,5.460991606115156,5.37468147277832,True
