epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
30,1425,,,,0.3133370280265808,0.41829726099967957,0.1760929971933365,,,
31,1471,,,,,,,0.37887752056121826,0.5302870869636536,0.2852683663368225
31,1471,,,,0.30846020579338074,0.41183656454086304,0.1714191734790802,,,
32,1517,,,,,,,0.3763571083545685,0.5285019278526306,0.28332123160362244
32,1517,,,,0.30453550815582275,0.4071410596370697,0.16730083525180817,,,
33,1563,,,,,,,0.37408044934272766,0.5259411334991455,0.2804722487926483
33,1563,,,,0.3005531132221222,0.4022276997566223,0.16340278089046478,,,
34,1609,,,,,,,0.3765750825405121,0.5277428030967712,0.2823377847671509
34,1609,,,,0.29725295305252075,0.39823123812675476,0.16024410724639893,,,
35,1655,,,,,,,0.3716147840023041,0.5238631963729858,0.27838635444641113
35,1655,,,,0.2949570417404175,0.3952150344848633,0.15717996656894684,,,
36,1701,,,,,,,0.3718342185020447,0.5214498043060303,0.27563247084617615
36,1701,,,,0.2912617623806,0.38957569003105164,0.1539674997329712,,,
37,1747,,,,,,,0.3737974762916565,0.5216835737228394,0.2757510840892792
37,1747,,,,0.2881467342376709,0.38669654726982117,0.15084291994571686,,,
38,1793,,,,,,,0.37095335125923157,0.5217985510826111,0.27590370178222656
38,1793,,,,0.2846372723579407,0.3821432590484619,0.147358238697052,,,
39,1839,,,,,,,0.3684334456920624,0.5184283256530762,0.2722156345844269
39,1839,,,,0.28212815523147583,0.3779754042625427,0.14458605647087097,,,
40,1885,,,,,,,0.37055373191833496,0.5190237164497375,0.2729502320289612
40,1885,,,,0.2796911299228668,0.3745928704738617,0.14213161170482635,,,
41,1931,,,,,,,0.3644532859325409,0.5164766311645508,0.2705799639225006
