epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
24,19124,,,,0.4204586446285248,0.6507683396339417,0.4366448223590851,,,
25,19889,,,,,,,0.4386567771434784,0.7263268828392029,0.5467881560325623
25,19889,,,,0.41716697812080383,0.644835889339447,0.429280549287796,,,
26,20654,,,,,,,0.4206417202949524,0.6850574612617493,0.48742252588272095
26,20654,,,,0.40964776277542114,0.6355087161064148,0.4172385334968567,,,
27,21419,,,,,,,0.44445955753326416,0.7104173302650452,0.5220092535018921
27,21419,,,,0.40538015961647034,0.6287456154823303,0.4086592495441437,,,
28,22184,,,,,,,0.42599397897720337,0.6949076652526855,0.4971662163734436
28,22184,,,,0.40473756194114685,0.6261152029037476,0.40557870268821716,,,
29,22949,,,,,,,0.4388103783130646,0.699997067451477,0.5061371326446533
29,22949,,,,0.4011123478412628,0.6233248114585876,0.40215620398521423,,,
30,23714,,,,,,,0.4194297194480896,0.6878719329833984,0.4888807535171509
30,23714,,,,0.3932924270629883,0.6130478382110596,0.3887560963630676,,,
31,24479,,,,,,,0.4124966263771057,0.6719956994056702,0.466634601354599
31,24479,,,,0.38979801535606384,0.6038950681686401,0.37774407863616943,,,
32,25244,,,,,,,0.4125247001647949,0.6787267327308655,0.47823694348335266
32,25244,,,,0.386650413274765,0.6023204326629639,0.375370055437088,,,
33,26009,,,,,,,0.42031052708625793,0.6745616793632507,0.4706597328186035
33,26009,,,,0.3805275559425354,0.5946623086929321,0.36619308590888977,,,
34,26774,,,,,,,0.4100115895271301,0.6700055599212646,0.4660724401473999
34,26774,,,,0.3799263834953308,0.5940870046615601,0.36505141854286194,,,
35,27539,,,,,,,0.41406378149986267,0.6663007140159607,0.4611661732196808
35,27539,,,,0.37894243001937866,0.5916774272918701,0.3635190427303314,,,
36,28304,,,,,,,0.41215750575065613,0.6756839156150818,0.4738636016845703
36,28304,,,,0.3723728060722351,0.5835214853286743,0.35313498973846436,,,
37,29069,,,,,,,0.4489162564277649,0.6994560956954956,0.5036661624908447
37,29069,,,,0.3743651211261749,0.5844546556472778,0.3551129996776581,,,
38,29834,,,,,,,0.4081960916519165,0.6644509434700012,0.4588794410228729
38,29834,,,,0.3667376637458801,0.5738160014152527,0.34130367636680603,,,
39,30599,,,,,,,0.39351823925971985,0.6426356434822083,0.429659903049469
39,30599,,,,0.3644956946372986,0.5696962475776672,0.33644938468933105,,,
40,31364,,,,,,,0.39175254106521606,0.6493164896965027,0.4381656050682068
40,31364,,,,0.36122921109199524,0.5652676820755005,0.33288225531578064,,,
41,32129,,,,,,,0.4057348072528839,0.6797373294830322,0.48193997144699097
