uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes
2LiTaCl6-1,LiTaCl6,2.756113190704464,4.316994697665432,4.414344787597656,TP,0.0,-1.5047767405897554,8.796227661381796,0,Yes,16,3,0,1,0,0,0,0,0,1,1,0,1,1.8800000000000001,3.16,0.98,2.18,3.6666666666666665,6.0,7.666666666666667,1.4866666666666666,74.44729333333333,1
2TlF3-1,TlF3,3.0462705418099194,4.7400790573229,4.406181335449219,TP,0.005188882560204444,-1.9036984981253595,2.3354155032985267,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,1
1HfK2H6S6-1,K2Hf(HS)6,3.0135486512122043,4.336349846488198,4.404715538024902,TP,0.0006989572981652258,-0.7129528671877002,4.78984034789773,0,Yes,15,4,0,0,0,0,0,0,1,0,1,0,1,1.725,2.58,0.82,1.7600000000000002,3.5,6.0,5.5,1.48,62.66531,1
1CrMoF6-1,CrMoF6,0.3134587676971492,,4.401644229888916,Novel,0.047225797221289056,-2.531212340453497,2.527612196098957,1,No,8,3,1,0,0,0,0,0,0,1,0,0,1,2.6,3.98,1.66,2.3200000000000003,3.6666666666666665,5.0,9.666666666666666,1.3266666666666664,55.6448344,0
2IRbO3-1,RbIO3,3.2811297189229824,,4.400100231170654,Novel,0.042316877859128965,-0.7810188895019372,4.680905064092718,0,No,10,3,0,0,0,1,1,0,0,1,1,0,0,2.3066666666666666,3.44,0.82,2.62,4.0,5.0,11.333333333333334,1.4266666666666665,76.12389,0
1Tl3F5-1,Tl3F5,2.879900079335284,4.064025823257047,4.399636268615723,TP,0.0,-1.9265093950512542,4.044471229935351,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,1
2Sb2O3-1,Sb2O3,3.5279454955019327,4.674643671043235,4.396472454071045,TP,0.0,-1.361791264878582,4.461968413089782,0,Yes,10,2,0,0,0,0,1,0,0,0,0,0,0,2.745,3.44,2.05,1.3900000000000001,3.5,5.0,15.5,0.905,68.8797,1
2InSbO3-1,InSbO3,3.123257888869942,4.247006353099858,4.395935535430908,TP,0.025321849374576287,-1.4644513639814776,4.196044112536126,0,Yes,10,3,0,0,0,0,1,0,0,0,0,0,0,2.4233333333333333,3.44,1.78,1.66,4.0,5.0,14.666666666666666,1.1233333333333333,84.19246666666668,1
2HKS-1,KHS,3.03453273498329,,4.395923137664795,Novel,0.025075411931828384,-0.7822295598190537,6.162254904208083,0,No,6,3,0,0,0,0,0,0,1,0,1,0,0,1.8666666666666665,2.58,0.82,1.7600000000000002,2.6666666666666665,4.0,6.0,1.28,24.05708,0
2GaTlF4-1,TlGaF4,2.6259196561695606,,4.389697074890137,Novel,0.025383903027246173,-2.3877467901811786,2.2061793845354867,0,No,12,3,1,0,0,0,0,0,0,1,0,0,0,2.47,3.98,1.62,2.36,4.0,6.0,14.333333333333334,1.1133333333333333,97.70156773333332,0
2ClGaO-1,GaClO,3.673770085551933,4.957459341310971,4.386070251464844,TP,0.0,-1.5310380725705197,5.2425535696204175,0,Yes,6,3,0,1,0,0,1,0,0,1,0,0,0,2.8033333333333332,3.44,1.81,1.63,3.0,4.0,15.333333333333334,0.8766666666666668,40.391799999999996,1
5ClTl-1,TlCl,3.049682882434345,,4.384632587432861,Novel,0.08507565503963228,-0.9391272153264371,4.974403835897188,0,No,10,2,0,1,0,0,0,0,0,1,0,0,0,2.39,3.16,1.62,1.54,4.5,6.0,15.0,1.175,119.91815,0
2Te3O7-1,Te3O7,2.2897056659970305,3.556485607633644,4.383244514465332,TP,0.09338301933224216,-0.9257242199397254,10.365378620454445,0,Yes,20,2,0,0,0,0,1,0,0,0,0,0,0,2.77,3.44,2.1,1.3399999999999999,3.5,5.0,16.0,0.855,71.7997,1
2TlF3-2,TlF3,2.506851707964703,,4.382848262786865,Novel,0.031844114692748615,-1.8770432659928153,3.048398042346326,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,1
6INa-1,NaI,3.450948325913317,4.338775146733397,4.373053073883057,TP,0.03188683751175736,-1.2643440123632663,6.723895322207881,0,Yes,12,2,0,0,0,1,0,0,0,1,1,0,0,1.7950000000000002,2.66,0.93,1.73,4.0,5.0,9.0,1.525,74.94711964,1
2CsIO3-1,CsIO3,3.460003114855472,,4.372308731079102,Novel,0.03679751909954092,-0.7896438621072128,4.951879924099279,0,No,10,3,0,0,0,1,1,0,0,1,1,0,0,2.296666666666667,3.44,0.79,2.65,4.333333333333333,6.0,11.333333333333334,1.5366666666666664,91.93644063333333,0
1MnAs2F12-1,MnAs2F12,1.8458049444370517,4.160613762790249,4.371139526367188,TP,0.0,-2.258437796595024,7.251665541072494,1,Yes,15,3,1,0,0,0,0,0,0,1,0,0,1,2.5700000000000003,3.98,1.55,2.4299999999999997,3.3333333333333335,4.0,13.0,1.0566666666666666,49.6193494,1
2ScBr3-3,ScBr3,2.640184190703226,4.543618578777588,4.36905574798584,TP,0.08157749668695669,-1.6976460385688465,3.4014082138805675,0,No,8,2,0,0,1,0,0,0,0,1,0,0,1,2.16,2.96,1.36,1.5999999999999999,4.0,4.0,10.0,1.3900000000000001,62.429956,0
