uid,formula,gap_hse,gap_pbe,is_uwbg,ehull,hform,thickness,natoms,is_magnetic,dyn_stab,a_lat,b_lat,lgnum,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,ab_ratio
1AuCrAs2Se6-1,AuCrAs2Se6,1.3412871540567188,0.5519286289067602,0,0.08931785975617919,-0.13954850202373095,3.7560596661950445,10,1,Yes,6.835939298842714,6.836126492375514,10,4,0,0,0,0,0,0,0,0,0,0,1,2.2325,2.55,1.66,0.8899999999999999,4.5,6.0,12.0,1.3925,100.71106725,1,0.9999726170173988
1AgBiP2Se6-1,AgBiP2Se6,1.9791375218532878,1.1007591302681417,0,0.0,-0.19077251205250362,3.587402111070684,10,0,Yes,6.74677258868656,6.746693661176977,65,4,0,0,0,0,0,0,0,0,0,0,1,2.1725000000000003,2.55,1.93,0.6199999999999999,4.5,6.0,14.25,1.2725000000000002,106.69559050000001,1,1.0000116986947307
1AuSbP2Se6-1,AuP2SbSe6,1.4926853880496713,0.8663021439875163,0,0.005994159496311635,-0.11746935674177053,3.6394176062800163,10,0,Yes,6.70469230682879,6.704798506572179,65,4,0,0,0,0,0,0,0,0,0,0,1,2.3325,2.55,2.05,0.5,4.5,6.0,14.25,1.27,107.16508275,1,0.9999841606361048
1AgVP2S6-1,AgVP2S6,2.05389604139729,0.3706764295470859,0,0.00870642202718841,-0.3806234415576036,3.360831809482841,10,1,Yes,6.054803369127555,6.054856380495544,10,4,0,0,0,0,0,0,1,0,0,0,1,2.0825,2.58,1.63,0.9500000000000002,3.75,5.0,11.75,1.305,55.462115499999996,1,0.9999912448182652
1AgAlP2Se6-1,AgAlP2Se6,2.3391806005332203,1.366218787774382,0,8.881784197001253e-17,-0.31603682134628175,3.435966796518679,10,0,Yes,6.415411662282241,6.414978248393961,67,4,0,0,0,0,0,0,0,0,0,0,1,2.0700000000000003,2.55,1.61,0.9399999999999997,3.75,5.0,13.75,1.21,61.19587514999999,1,1.0000675627993576
1AlNaAs2Se6-1,AlNaAs2Se6,1.7495813872978423,1.045976140157817,0,0.08582603455205913,-0.3887627261346303,3.5151936507402812,10,0,Yes,6.881042672879302,6.88104267287934,10,4,0,0,0,0,0,0,0,0,1,0,0,1.8175000000000001,2.55,0.93,1.6199999999999997,3.5,4.0,11.25,1.3125,50.963226969999994,1,0.9999999999999946
1AgCrP2S6-1,AgCrP2S6,2.0120057332509953,1.009853264090903,0,0.008316508723440563,-0.354637077034824,3.251037497087477,10,1,Yes,6.055517678276873,6.055504056484786,67,4,0,0,0,0,0,0,1,0,0,0,1,2.09,2.58,1.66,0.9200000000000002,3.75,5.0,12.0,1.2924999999999998,55.7257655,1,1.0000022494893837
1AgSbP2Te6-1,AgP2SbTe6,1.1226009579773746,0.47535869473964754,0,0.08429856353160062,0.03937189297968047,3.6810113038548256,10,0,Yes,7.122490966274104,7.122371655455252,65,4,0,0,0,0,0,0,0,0,0,0,1,2.0675,2.19,1.93,0.26,4.5,5.0,14.25,1.2974999999999999,97.0504905,1,1.0000167515575744
1InLiP2Se6-1,InLiP2Se6,2.452251094948999,1.6317086264567768,0,0.0,-0.4095573551809011,3.3053776253554403,10,0,Yes,6.748172346481308,6.748172346481256,10,4,0,0,0,0,0,0,0,0,1,0,0,1.8749999999999998,2.55,0.98,1.5699999999999998,3.5,5.0,11.25,1.31,57.923190500000004,1,1.0000000000000075
1AgSbAs2Te6-1,AgAs2SbTe6,0.4859047813284567,0.006635585172607872,0,0.0988449361247004,0.04893934807209277,3.749857332115022,10,0,Yes,7.217770807363829,7.218195238251612,65,4,0,0,0,0,0,0,0,0,0,0,1,2.065,2.18,1.93,0.2500000000000002,4.75,5.0,14.25,1.3375,108.03745,1,0.9999411998603842
1NiRuTa2Se6-1,NiRuTa2Se6,1.2041955533079016,0.33792535765927767,0,0.09252456512795817,-0.580522323903606,3.784650867074699,10,0,Yes,6.282578136719342,6.5279859962090905,1,4,0,0,0,0,0,0,0,0,0,0,1,2.04,2.55,1.5,1.0499999999999998,4.75,6.0,9.75,1.575,104.91781999999999,1,0.9624068036248452
1CoLiP2Se6-1,CoLiP2Se6,2.003765085054899,0.8325315366712176,0,0.009389361614297976,-0.3592884019223533,3.2187088924408247,10,0,Yes,6.206923522473091,6.207722279203287,67,4,0,0,0,0,0,0,0,0,1,0,1,1.9,2.55,0.98,1.5699999999999998,3.25,4.0,10.25,1.3,43.95198925,1,0.9998713285333541
1AlLiP2S6-1,AlLiP2S6,3.872884141474959,2.8236292221981723,1,3.552713678800501e-16,-0.6608929255280053,3.0070440861019225,10,0,Yes,6.234532172135002,6.234532172135037,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8399999999999999,2.58,0.98,1.6,2.75,3.0,11.25,1.1775,24.24032515,1,0.9999999999999944
1AgBiP2Te6-1,AgBiP2Te6,1.0749202369596413,0.40087752913751284,0,0.08060597271591799,0.009722951531138335,3.7212770745972517,10,0,Yes,7.179839460555208,7.180007999747519,65,4,0,0,0,0,0,0,0,0,0,0,1,2.06,2.19,1.93,0.26,4.75,6.0,14.25,1.3225000000000002,118.8555905,1,0.9999765266010403
2LiVAu2O6-1,Au4Li2V2O12,2.301758911266141,0.5247167837429725,0,0.05858337740203794,-1.1180978128018637,5.410615930781994,20,0,Yes,6.261806726855892,10.500971356146534,32,4,0,0,0,0,1,0,0,0,1,0,1,2.1475,3.44,0.98,2.46,3.5,6.0,8.25,1.4,67.71211724999999,1,0.5963073809539218
1AuVP2Se6-1,AuVP2Se6,1.7119899048404283,0.4365499207365393,0,0.05222778643809112,-0.22286037684029197,3.6532476229021054,10,1,Yes,6.442075978190629,6.441693652864106,10,4,0,0,0,0,0,0,0,0,0,0,1,2.2275,2.55,1.63,0.9199999999999999,4.25,6.0,11.75,1.365,89.46045774999999,1,1.0000593516778546
1GaNaP2Se6-1,GaNaP2Se6,2.409935963671176,1.6121453546568367,0,0.007763042075690452,-0.3813190165531317,3.4047394535087676,10,0,Yes,6.742574060791553,6.742574060791618,10,4,0,0,0,0,0,0,0,0,1,0,0,1.8699999999999999,2.55,0.93,1.6199999999999997,3.5,4.0,11.25,1.3175000000000001,50.661632819999994,1,0.9999999999999903
1CuInP2Se6-1,CuInP2Se6,2.0509062009064927,0.9080369106453623,0,0.0,-0.2290373912677758,3.5668006420125327,10,0,Yes,6.502878120348411,6.501443227715352,65,4,0,0,0,0,0,0,0,0,0,0,1,2.1049999999999995,2.55,1.78,0.7699999999999998,4.0,5.0,13.75,1.255,72.0744405,1,1.0002207037088229
2AgCrP2S6-1,Ag2Cr2P4S12,2.715331098741717,0.9970750904765358,0,0.0,-0.36295358575826453,3.7605880487370964,20,1,Yes,5.980236160209338,10.669038995874013,16,4,0,0,0,0,0,0,1,0,0,0,1,2.09,2.58,1.66,0.9200000000000002,3.75,5.0,12.0,1.2924999999999998,55.7257655,1,0.5605224765343951
1AgInP2Se6-1,AgInP2Se6,1.7071298338532443,0.8630466948580029,0,0.0,-0.23278671440076976,3.56481743493152,10,0,Yes,6.580011301697996,6.579759183253378,67,4,0,0,0,0,0,0,0,0,0,0,1,2.1125,2.55,1.78,0.7699999999999998,4.25,5.0,13.75,1.305,83.1549905,1,1.000038317275389
1AgAlAs2Se6-1,AgAlAs2Se6,1.5766849945499355,0.7642393004571084,0,0.07611948668072585,-0.23150041988944778,3.5155356964788,10,0,Yes,6.527176617641346,6.527003714595308,67,4,0,0,0,0,0,0,0,0,0,0,1,2.0675,2.55,1.61,0.9399999999999997,4.0,5.0,13.75,1.25,72.18283464999999,1,1.0000264904163685
2HPSb2O6-1,H2O12P2Sb4,5.463422220959688,4.21688497042998,1,0.0,-1.6312311106214317,3.328085167576587,20,0,Yes,4.651156745931583,12.324966512664496,9,4,0,0,0,0,1,0,0,0,0,0,0,2.4699999999999998,3.44,2.05,1.3900000000000001,2.75,5.0,11.75,0.8300000000000001,42.4352755,1,0.377376826229288
1BiHTe2O6-1,BiHO6Te2,4.22625362789387,2.9788565011949393,1,0.023671376242653606,-1.128705624359648,6.052379957352553,10,0,Yes,4.645607546694177,4.640091702630891,13,4,0,0,0,0,1,0,0,0,0,0,0,2.44,3.44,2.02,1.42,3.5,6.0,12.0,0.9175,88.396935,1,1.0011887360028162
1AgTlP2Se6-1,AgTlP2Se6,0.9013702160477939,0.26625515797402155,0,0.018219292831093626,-0.12656141686559436,3.604558041057002,10,0,Yes,6.657397321171648,6.657832441876411,67,4,0,0,0,0,0,0,0,0,0,0,1,2.0725,2.55,1.62,0.9299999999999997,4.5,6.0,13.75,1.305,105.54631549999999,1,0.9999346452905564
1GaLiP2Se6-1,GaLiP2Se6,2.1881205612556256,1.4162916951918083,0,0.00863046789666928,-0.3933106580525191,3.223503888857241,10,0,Yes,6.582018400866171,6.582018400866191,10,4,0,0,0,0,0,0,0,0,1,0,0,1.8825,2.55,0.98,1.5699999999999998,3.25,4.0,11.25,1.26,46.6494405,1,0.999999999999997
