uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,s_chem_rf,s_chem_lr
1PdZrF6-1,ZrPdF6,1.128127665985084,,3.5090017318725586,Novel,0.08292847462104325,-2.816691776191464,2.905005790401394,0,No,8,3,1,0,0,0,0,0,0,1,0,0,1,2.5033333333333334,3.98,1.33,2.65,4.0,5.0,10.333333333333334,1.39,72.21413439999999,0,0.86,0.3677254072475558
2BrRbF4-1,RbBrF4,3.4871599717866326,,5.359317302703857,Novel,0.0,-1.7112507365362328,2.6507190763274835,0,No,12,3,1,0,1,0,0,0,0,1,1,0,0,2.5866666666666664,3.98,0.82,3.16,3.6666666666666665,5.0,11.666666666666666,1.3366666666666667,61.456734399999995,0,0.86,0.882313980165251
2CaLiI3-1,LiCaI3,3.870962865986644,,4.844423294067383,Novel,0.04447711360179181,-1.4568019162361274,3.766014926701728,0,No,10,3,0,0,0,1,0,0,0,1,1,1,0,1.5466666666666669,2.66,0.98,1.6800000000000002,3.6666666666666665,5.0,6.666666666666667,1.5866666666666667,57.97449,0,0.86,0.8681290482592129
2CdCl2-1,CdCl2,3.180650398460472,,4.663500308990479,Novel,0.07787364484023011,-1.0394356332283914,2.9593632278617186,0,No,6,2,0,1,0,0,0,0,0,1,0,0,1,2.425,3.16,1.69,1.4700000000000002,4.0,5.0,14.5,1.2000000000000002,73.932,0,0.86,0.25012275127378975
2YF3-2,YF3,6.821395567485379,,9.972097396850586,Novel,0.0285896611635712,-4.125600610021536,2.5139740532334844,0,No,8,2,1,0,0,0,0,0,0,1,0,0,1,2.6,3.98,1.22,2.76,3.5,5.0,10.0,1.27,53.9521266,0,0.855,0.6870494460373227
2CNaOH3N4-1,NaH3CN4O,4.8185609949959325,,5.780579090118408,Novel,0.19899776761459256,-0.3442060727195681,5.136601457678603,0,No,20,5,0,0,0,0,1,1,0,0,1,0,0,2.4319999999999995,3.44,0.93,2.51,2.0,3.0,9.4,0.828,13.202901856,0,0.855,0.7831868786594536
2ClNaS2H4-1,NaH4S2Cl,4.323628040497962,,5.651883125305176,Novel,0.04357769617582097,-0.5514137553325442,5.825604317018449,0,No,16,4,0,1,0,0,0,0,1,1,1,0,0,2.2175000000000002,3.16,0.93,2.23,2.5,3.0,8.75,1.025,22.878927320000003,0,0.855,0.8040076011168584
1LiN2C5H5O5-1,LiH5C5N2O5,3.245278141316211,,5.07356595993042,Novel,0.07375921357344989,-0.819837124471722,2.822517408217001,0,No,18,5,0,0,0,0,1,1,0,0,1,0,0,2.4419999999999997,3.44,0.98,2.46,1.8,2.0,9.4,0.782,9.993148000000001,0,0.855,0.8916731645666826
2ClKS2H4-1,KH4S2Cl,4.504795492891412,,5.322426795959473,Novel,0.041467799213330436,-0.5898260570785445,6.120169536792224,0,No,16,4,0,1,0,0,0,0,1,1,1,0,0,2.19,3.16,0.82,2.3400000000000003,2.75,4.0,8.75,1.1575,26.90606,0,0.855,0.7268354872225408
2CKOH3N4-1,KH3CN4O,4.514485025279575,,5.137524127960205,Novel,0.19308023210518188,-0.36017609571284837,5.719742145786821,0,Unknown,20,5,0,0,0,0,1,1,0,0,1,0,0,2.4099999999999997,3.44,0.82,2.62,2.2,4.0,9.4,0.9339999999999999,16.424608,0,0.845,0.6991577057337997
2BrCsF4-1,CsBrF4,3.560570635081239,,5.715290546417236,Novel,0.0,-1.7368917906334147,2.6659083193213284,0,No,12,3,1,0,1,0,0,0,0,1,1,0,0,2.5766666666666667,3.98,0.79,3.19,4.0,6.0,11.666666666666666,1.4466666666666665,77.26928503333333,0,0.84,0.8366731329037712
2ClCsF4-1,CsClF4,3.753464039625782,,5.876153469085693,Novel,0.0,-1.557050944446963,2.565272088805976,0,No,12,3,1,1,0,0,0,0,0,1,1,0,0,2.643333333333333,3.98,0.79,3.19,3.6666666666666665,6.0,11.666666666666666,1.3966666666666667,62.45228503333334,0,0.84,0.8717155372200693
2HNaI2-1,NaHI2,3.0759639617157566,,3.9403603076934814,Novel,0.03633930361834059,-0.6154904266474166,6.821932424539279,0,No,8,3,0,0,0,1,0,0,0,1,1,0,0,1.9300000000000004,2.66,0.93,1.73,3.0,5.0,6.333333333333333,1.1933333333333331,50.30072642666667,0,0.835,0.5033522901143725
2YBr3-2,YBr3,3.307776891097648,,5.234935760498047,Novel,0.04717244695144851,-1.9161080157043227,3.8412824685665656,0,No,8,2,0,0,1,0,0,0,0,1,0,0,1,2.09,2.96,1.22,1.74,4.5,5.0,10.0,1.53,84.40492499999999,0,0.835,0.30775465790714196
